Empresa;Cotação;Divida_Liquida;Custos;Lucro_Liquido;Lucro_Bruto;Margem_Bruta;Margem_Liquida;Divida_Bruta;Divida_Liquida.1;Roic;ROE;Receita_Liquida;EBITA;EBIT;Impostos;Margem_EBITA;Dy;P/VP;P/L;VPA;LPA
TRÊS TENTOS;11.04;537050000.0;-6600000000.0;573460000.0;1080000000.0;14.02;7.47;1350000000.0;537050000.0;9.22;5.18;7680000000.0;490170000.0;529910000.0;93410000.0;6.9;1.04;1.86;9.57;5.93;1.15
MULTILASER;2.03;197930000.0;-3260000000.0;-435770000.0;753790000.0;18.8;-10.87;1100000000.0;197930000.0;-7.81;-2.77;4010000000.0;-340830000.0;-284870000.0;-38070000.0;-7.1;0.0;0.44;-3.82;4.58;-0.53
CONSTRUTORA TENDA;10.8;628030000.0;-2200000000.0;-426060000.0;363530000.0;14.17;-16.6;1360000000.0;628030000.0;-11.27;-14.61;2570000000.0;-186020000.0;-123480000.0;-44990000.0;-4.81;0.0;1.93;-2.41;5.59;-4.49
CBA;3.99;2620000000.0;-7260000000.0;59980000.0;520430000.0;6.69;0.77;3990000000.0;2620000000.0;-2.63;0.29;7780000000.0;-22060000.0;544830000.0;219060000.0;7.0;11.04;0.46;-109.26;8.69;-0.04
GRUPO SBF;6.85;2650000000.0;-3380000000.0;124590000.0;3140000000.0;48.22;1.91;2830000000.0;2650000000.0;7.42;1.32;6520000000.0;394180000.0;793090000.0;-13750000.0;12.17;2.02;0.73;13.53;9.44;0.51
SABESP;60.96;16450000000.0;-15570000000.0;3210000000.0;8210000000.000001;34.52;13.52;18710000000.0;16450000000.0;8.17;2.88;23770000000.0;5060000000.0;7650000000.0;-1180000000.0;32.18;2.13;1.45;12.96;42.06;4.7
HYPERA;33.89;7690000000.0;-2980000000.0;1740000000.0;5110000000.0;63.19;21.5;9830000000.0;7690000000.0;12.07;4.07;8090000000.0;2640000000.0;2810000000.0;120380000.0;34.78;1.89;1.94;12.37;17.44;2.74
SIMPAR S.A.;7.18;32880000000.000004;-20830000000.0;576040000.0;8500000000.0;28.97;1.96;40650000000.0;32880000000.000004;12.18;4.92;29330000000.0;5600000000.0;8020000000.0;262880000.0;27.33;2.19;1.91;29.09;3.76;0.25
MULTIPLAN;24.13;1910000000.0;-157520000.0;1030000000.0;1750000000.0;91.73;53.96;2630000000.0;1910000000.0;13.57;3.86;1910000000.0;1380000000.0;1560000000.0;-103530000.0;81.73;1.79;2.13;16.48;11.34;1.46
ESPAÇOLASER;1.15;713390000.0;-611610000.0;-40110000.0;358350000.0;36.94;-4.14;921750000.0;713390000.0;5.26;-1.2;969960000.0;122100000.0;213070000.0;-27470000.0;21.97;0.0;0.47;-11.0;2.43;-0.1
OI S.A;1.96;21230000000.0;-9620000000.0;-22840000000.0;790640000.0;7.6;-219.4;23750000000.0;21230000000.0;10254.44;-32.09;10410000000.0;-17650000000.0;-14810000000.0;-890540000.0;-142.31;0.0;-0.05;-0.06;-36.24;-34.59
DURATEX;6.65;4320000000.0;-5110000000.0;683730000.0;2690000000.0;34.51;8.76;5970000000.0;4320000000.0;11.53;2.88;7810000000.0;1440000000.0;2370000000.0;-56920000.0;30.34;5.03;0.9;8.16;7.35;0.81
TOTVS;26.04;-974140000.0;-1200000000.0;512630000.0;2850000000.0;70.45;12.66;1750000000.0;-974140000.0;8.75;2.89;4050000000.0;700360000.0;956260000.0;-163030000.0;23.62;1.69;3.66;30.83;7.12;0.84
ECORODOVIAS INFRAESTRUTURA E LOGÍSTICA S.A.;7.18;12190000000.0;-4610000000.0;472050000.0;2590000000.0;35.96;6.56;14370000000.0;12190000000.0;10.1;4.96;7200000000.0;2220000000.0;2910000000.0;-513100000.0;40.37;0.11;1.97;10.65;3.64;0.67
VIVO - TELEFÔNICA BRASIL;46.16;12860000000.0;-28560000000.0;4520000000.0;21750000000.0;43.23;8.98;18270000000.0;12860000000.0;7.25;1.64;50310000000.0;7240000000.0;20210000000.0;-933040000.0;40.16;5.07;1.12;16.98;41.27;2.72
PETRORECÔNCAVO;21.67;-176870000.0;-1750000000.0;997670000.0;1210000000.0;40.93;33.72;608620000.0;-176870000.0;18.86;6.28;2960000000.0;1020000000.0;1460000000.0;-95010000.0;49.23;4.89;1.47;6.37;14.71;3.4
AES BRASIL ENERGIA;10.58;8330000000.0;-2030000000.0;336210000.0;1070000000.0;34.55;10.86;11620000000.0;8330000000.0;4.56;1.94;3100000000.0;848570000.0;1410000000.0;-116970000.0;45.64;0.0;1.45;43.93;7.32;0.24
GUARARAPES CONFECÇÕES;4.64;1710000000.0;-3540000000.0;-87540000.0;5000000000.0;58.57;-1.03;3840000000.0;1710000000.0;3.64;-0.43;8529999999.999999;349920000.0;749310000.0;26320000.0;8.78;0.0;0.46;-26.46;10.14;-0.18
BRASKEM;15.5;21950000000.0;-77990000000.0;-3890000000.0;3590000000.0;4.41;-4.76;37530000000.0;21950000000.0;-6.65;-12.51;81580000000.0;-2300000000.0;2850000000.0;681750000.0;3.49;0.0;1.71;-3.63;9.07;-4.26
MOVIDA PARTICIPACOES SA;9.37;11390000000.0;-7000000000.0;114730000.0;3510000000.0;33.44;1.09;13970000000.0;11390000000.0;12.01;1.0;10510000000.0;2090000000.0;3550000000.0;41220000.0;33.76;2.92;1.11;29.59;8.48;0.32
SANTOS BRASIL;7.53;-177530000.0;-1060000000.0;373070000.0;861450000.0;44.75;19.38;297020000.0;-177530000.0;18.43;4.36;1920000000.0;578820000.0;793430000.0;-122600000.0;41.22;5.21;2.99;17.44;2.52;0.43
